trade_id,entry_time,entry_idx,entry_price,prob_tp,prob_sl,confidence,exit_time,exit_price,exit_type,pnl_pct,bars_held,result
100,2025-08-26 02:00,237,"$4,600.63",60.00%,40.00%,20.0%,2025-08-27 02:00,"$4,566.13",SL,-0.75%,1,LOSS
101,2025-08-28 02:00,239,"$4,511.21",70.27%,29.73%,40.5%,2025-08-29 02:00,"$4,477.38",SL,-0.75%,1,LOSS
102,2025-08-30 02:00,241,"$4,373.70",72.75%,27.25%,45.5%,2025-08-31 02:00,"$4,439.31",TP,+1.50%,1,WIN
103,2025-09-01 02:00,243,"$4,314.50",66.61%,33.39%,33.2%,2025-09-02 02:00,"$4,379.22",TP,+1.50%,1,WIN
104,2025-09-03 02:00,245,"$4,450.46",55.30%,44.70%,10.6%,2025-09-04 02:00,"$4,417.08",SL,-0.75%,1,LOSS
105,2025-09-05 02:00,247,"$4,307.45",51.16%,48.84%,2.3%,2025-09-06 02:00,"$4,275.14",SL,-0.75%,1,LOSS
106,2025-09-07 02:00,249,"$4,306.19",63.02%,36.98%,26.0%,2025-09-08 02:00,"$4,370.78",TP,+1.50%,1,WIN
107,2025-09-09 02:00,251,"$4,310.09",60.93%,39.07%,21.9%,2025-09-10 02:00,"$4,374.74",TP,+1.50%,1,WIN
108,2025-09-11 02:00,253,"$4,458.82",59.28%,40.72%,18.6%,2025-09-12 02:00,"$4,525.70",TP,+1.50%,1,WIN
109,2025-09-13 02:00,255,"$4,666.53",81.76%,18.24%,63.5%,2025-09-14 02:00,"$4,631.53",SL,-0.75%,1,LOSS
110,2025-09-15 02:00,257,"$4,523.74",60.21%,39.79%,20.4%,2025-09-16 02:00,"$4,489.81",SL,-0.75%,1,LOSS
111,2025-09-17 02:00,259,"$4,590.53",58.79%,41.21%,17.6%,2025-09-18 02:00,"$4,556.10",SL,-0.75%,1,LOSS
112,2025-09-19 02:00,261,"$4,468.59",63.94%,36.06%,27.9%,2025-09-22 02:00,"$4,435.08",SL,-0.75%,3,LOSS
113,2025-09-23 02:00,265,"$4,164.26",70.07%,29.93%,40.1%,2025-09-24 02:00,"$4,133.03",SL,-0.75%,1,LOSS
114,2025-09-25 02:00,267,"$3,874.36",52.29%,47.71%,4.6%,2025-09-26 02:00,"$3,932.48",TP,+1.50%,1,WIN
115,2025-09-27 02:00,269,"$4,018.38",51.99%,48.01%,4.0%,2025-09-28 02:00,"$4,078.66",TP,+1.50%,1,WIN
116,2025-10-02 02:00,274,"$4,484.35",52.20%,47.80%,4.4%,2025-10-03 02:00,"$4,551.62",TP,+1.50%,1,WIN
117,2025-10-04 02:00,276,"$4,487.15",67.37%,32.63%,34.7%,2025-10-05 02:00,"$4,554.46",TP,+1.50%,1,WIN
118,2025-10-06 02:00,278,"$4,684.01",66.58%,33.42%,33.2%,2025-10-07 02:00,"$4,754.27",TP,+1.50%,1,WIN
119,2025-10-08 02:00,280,"$4,525.72",50.68%,49.32%,1.4%,2025-10-09 02:00,"$4,491.78",SL,-0.75%,1,LOSS
120,2025-10-10 02:00,282,"$3,829.72",52.55%,47.45%,5.1%,2025-10-11 02:00,"$3,801.00",SL,-0.75%,1,LOSS
